StateFIPS,CountyFIPS,Name,Total,Employed,Unemployed
06,019,"Fresno County, CA",444737,402364,42373
06,021,"Glenn County, CA",12949,11867,1082
06,023,"Humboldt County, CA",62424,59338,3086
06,025,"Imperial County, CA",75186,56998,18188
06,027,"Inyo County, CA",8860,8390,470
06,029,"Kern County, CA",388109,347692,40417
06,031,"Kings County, CA",57161,51446,5715
06,033,"Lake County, CA",29067,27108,1959
06,035,"Lassen County, CA",10363,9642,721
06,037,"Los Angeles County, CA",5018920,4751209,267711
06,039,"Madera County, CA",61051,55393,5658
06,041,"Marin County, CA",139632,135040,4592
06,043,"Mariposa County, CA",7568,7048,520
06,045,"Mendocino County, CA",39617,37521,2096
06,047,"Merced County, CA",114339,102211,12128
06,049,"Modoc County, CA",3292,3034,258
06,051,"Mono County, CA",8365,7915,450
06,053,"Monterey County, CA",218802,201971,16831
06,055,"Napa County, CA",72941,69799,3142
06,057,"Nevada County, CA",48147,45838,2309
06,059,"Orange County, CA",1597447,1532725,64722
06,061,"Placer County, CA",179634,171550,8084
06,063,"Plumas County, CA",7851,7085,766
06,065,"Riverside County, CA",1051610,987187,64423
06,067,"Sacramento County, CA",693979,656360,37619
06,069,"San Benito County, CA",30434,28398,2036
06,071,"San Bernardino County, CA",930242,876387,53855
06,073,"San Diego County, CA",1563246,1489143,74103
06,075,"San Francisco County/city, CA",555316,536972,18344
06,077,"San Joaquin County, CA",318316,292367,25949
06,079,"San Luis Obispo County, CA",139484,133438,6046
06,081,"San Mateo County, CA",441792,428282,13510
06,083,"Santa Barbara County, CA",215256,204329,10927
06,085,"Santa Clara County, CA",1027918,989048,38870
06,087,"Santa Cruz County, CA",143764,133730,10034
06,089,"Shasta County, CA",74207,69019,5188
06,091,"Sierra County, CA",1334,1232,102
06,093,"Siskiyou County, CA",17896,16370,1526
06,095,"Solano County, CA",207273,195835,11438
06,097,"Sonoma County, CA",259214,248876,10338
06,099,"Stanislaus County, CA",242737,221769,20968
06,101,"Sutter County, CA",44983,40612,4371
06,103,"Tehama County, CA",25071,23280,1791
06,105,"Trinity County, CA",4993,4638,355
06,107,"Tulare County, CA",203292,180503,22789
06,109,"Tuolumne County, CA",21567,20221,1346
06,111,"Ventura County, CA",425346,403087,22259
06,113,"Yolo County, CA",106078,99812,6266
06,115,"Yuba County, CA",28153,25722,2431
08,001,"Adams County, CO",253599,244903,8696
08,003,"Alamosa County, CO",7964,7657,307
08,005,"Arapahoe County, CO",340623,330532,10091
08,007,"Archuleta County, CO",6365,6165,200
08,009,"Baca County, CO",2093,2059,34
08,011,"Bent County, CO",1851,1797,54
08,013,"Boulder County, CO",180901,176286,4615
08,014,"Broomfield County/city, CO",36784,35767,1017
08,015,"Chaffee County, CO",8843,8619,224
08,017,"Cheyenne County, CO",1081,1058,23
08,019,"Clear Creek County, CO",5686,5513,173
08,021,"Conejos County, CO",3769,3594,175
08,023,"Costilla County, CO",1728,1648,80
08,025,"Crowley County, CO",1422,1374,48
08,027,"Custer County, CO",2019,1958,61
08,029,"Delta County, CO",13948,13293,655
08,031,"Denver County/city, CO",385108,373645,11463
08,033,"Dolores County, CO",1071,1031,40
08,035,"Douglas County, CO",177570,173042,4528
08,037,"Eagle County, CO",33733,32848,885
08,039,"Elbert County, CO",13802,13460,342
08,041,"El Paso County, CO",314650,303352,11298
08,043,"Fremont County, CO",14695,13968,727
08,045,"Garfield County, CO",30994,29959,1035
08,047,"Gilpin County, CO",3485,3406,79
08,049,"Grand County, CO",9191,8955,236
08,051,"Gunnison County, CO",10140,9918,222
08,053,"Hinsdale County, CO",447,437,10
08,055,"Huerfano County, CO",2497,2346,151
08,057,"Jackson County, CO",892,869,23
08,059,"Jefferson County, CO",315406,306493,8913
08,061,"Kiowa County, CO",846,830,16
08,063,"Kit Carson County, CO",4540,4448,92
08,065,"Lake County, CO",4618,4492,126
08,067,"La Plata County, CO",30992,30141,851
08,069,"Larimer County, CO",187400,182374,5026
08,071,"Las Animas County, CO",6183,5884,299
08,073,"Lincoln County, CO",2280,2224,56
08,075,"Logan County, CO",11017,10707,310
08,077,"Mesa County, CO",72044,68374,3670
08,079,"Mineral County, CO",464,454,10
08,081,"Moffat County, CO",7180,6908,272
08,083,"Montezuma County, CO",12715,12112,603
08,085,"Montrose County, CO",20062,19268,794
08,087,"Morgan County, CO",15039,14542,497
08,089,"Otero County, CO",8110,7745,365
08,091,"Ouray County, CO",2166,2088,78
08,093,"Park County, CO",9836,9574,262
08,095,"Phillips County, CO",2472,2426,46
08,097,"Pitkin County, CO",10736,10390,346
08,099,"Prowers County, CO",6006,5820,186
08,101,"Pueblo County, CO",73058,69714,3344
08,103,"Rio Blanco County, CO",2735,2603,132
08,105,"Rio Grande County, CO",5153,4909,244
08,107,"Routt County, CO",14912,14539,373
08,109,"Saguache County, CO",3226,3075,151
08,111,"San Juan County, CO",479,462,17
08,113,"San Miguel County, CO",5185,5024,161
08,115,"Sedgwick County, CO",1178,1152,26
08,117,"Summit County, CO",21140,20722,418
08,119,"Teller County, CO",11731,11315,416
08,121,"Washington County, CO",2921,2861,60
08,123,"Weld County, CO",149941,145047,4894
08,125,"Yuma County, CO",5441,5330,111
09,001,"Fairfield County, CT",480229,458116,22113
09,003,"Hartford County, CT",474494,450542,23952
09,005,"Litchfield County, CT",104750,100083,4667
09,007,"Middlesex County, CT",92489,88623,3866
09,009,"New Haven County, CT",457003,433288,23715
09,011,"New London County, CT",136181,129595,6586
09,013,"Tolland County, CT",85416,81803,3613
09,015,"Windham County, CT",62639,59342,3297
10,001,"Kent County, DE",76699,72935,3764
10,003,"New Castle County, DE",291757,278853,12904
10,005,"Sussex County, DE",100352,95852,4500
11,001,District of Columbia,395124,370553,24571
12,001,"Alachua County, FL",133055,127302,5753
12,003,"Baker County, FL",11456,10892,564
12,005,"Bay County, FL",88209,83963,4246
12,007,"Bradford County, FL",10896,10427,469
12,009,"Brevard County, FL",263418,249817,13601
12,011,"Broward County, FL",1007259,961500,45759
12,013,"Calhoun County, FL",5003,4713,290
12,015,"Charlotte County, FL",69519,65781,3738
12,017,"Citrus County, FL",48006,44748,3258
12,019,"Clay County, FL",101345,96747,4598
12,021,"Collier County, FL",169758,161752,8006
12,023,"Columbia County, FL",29856,28387,1469
12,027,"DeSoto County, FL",13516,12797,719
12,029,"Dixie County, FL",5669,5358,311
12,031,"Duval County, FL",469165,445908,23257
12,033,"Escambia County, FL",141419,134347,7072
12,035,"Flagler County, FL",45492,42967,2525
12,037,"Franklin County, FL",4752,4544,208
12,039,"Gadsden County, FL",18269,17114,1155
12,041,"Gilchrist County, FL",6698,6360,338
12,043,"Glades County, FL",4734,4436,298
12,045,"Gulf County, FL",5985,5704,281
12,047,"Hamilton County, FL",4673,4406,267
12,049,"Hardee County, FL",9287,8664,623
12,051,"Hendry County, FL",15462,14133,1329
12,053,"Hernando County, FL",68152,63991,4161
12,055,"Highlands County, FL",35846,33481,2365
12,057,"Hillsborough County, FL",709538,677812,31726
12,059,"Holmes County, FL",6734,6367,367
12,061,"Indian River County, FL",62394,58604,3790
12,063,"Jackson County, FL",17396,16480,916
12,065,"Jefferson County, FL",5404,5117,287
12,067,"Lafayette County, FL",2977,2846,131
12,069,"Lake County, FL",146577,139389,7188
12,071,"Lee County, FL",330398,314990,15408
12,073,"Leon County, FL",150702,143808,6894
12,075,"Levy County, FL",16702,15831,871
12,077,"Liberty County, FL",2646,2509,137
12,079,"Madison County, FL",7350,6960,390
12,081,"Manatee County, FL",171148,163281,7867
12,083,"Marion County, FL",132466,124689,7777
12,085,"Martin County, FL",71125,67646,3479
12,086,"Miami-Dade County, FL",1305259,1233029,72230
12,087,"Monroe County, FL",46592,45095,1497
12,089,"Nassau County, FL",37897,36176,1721
12,091,"Okaloosa County, FL",93533,89740,3793
12,093,"Okeechobee County, FL",18205,17261,944
12,095,"Orange County, FL",708817,677671,31146
12,097,"Osceola County, FL",164792,156541,8251
12,099,"Palm Beach County, FL",711609,677839,33770
12,101,"Pasco County, FL",223250,211693,11557
12,103,"Pinellas County, FL",479772,458724,21048
12,105,"Polk County, FL",287843,271786,16057
12,107,"Putnam County, FL",27071,25332,1739
12,109,"St. Johns County, FL",118966,114422,4544
12,111,"St. Lucie County, FL",135657,127736,7921
12,113,"Santa Rosa County, FL",76371,72892,3479
12,115,"Sarasota County, FL",181607,173272,8335
12,117,"Seminole County, FL",242812,232335,10477
12,119,"Sumter County, FL",29490,27358,2132
12,121,"Suwannee County, FL",18243,17342,901
12,123,"Taylor County, FL",8866,8383,483
12,125,"Union County, FL",4811,4601,210
12,127,"Volusia County, FL",246286,233701,12585
12,129,"Wakulla County, FL",14342,13743,599
12,131,"Walton County, FL",29035,27776,1259
12,133,"Washington County, FL",9732,9228,504
13,001,"Appling County, GA",9191,8596,595
13,003,"Atkinson County, GA",3976,3765,211
13,005,"Bacon County, GA",4981,4717,264
13,007,"Baker County, GA",1181,1089,92
13,009,"Baldwin County, GA",17637,16414,1223
13,011,"Banks County, GA",8816,8382,434
13,013,"Barrow County, GA",37699,35894,1805
13,015,"Bartow County, GA",48194,45690,2504
13,017,"Ben Hill County, GA",5550,5089,461
13,019,"Berrien County, GA",7220,6772,448
13,021,"Bibb County, GA",68659,64517,4142
13,023,"Bleckley County, GA",4504,4143,361
13,025,"Brantley County, GA",7098,6614,484
13,027,"Brooks County, GA",7010,6638,372
13,029,"Bryan County, GA",16928,16093,835
13,031,"Bulloch County, GA",35965,33878,2087
13,033,"Burke County, GA",9244,8522,722
13,035,"Butts County, GA",10379,9786,593
13,037,"Calhoun County, GA",2164,2040,124
13,039,"Camden County, GA",20352,19164,1188
13,043,"Candler County, GA",5071,4825,246
13,045,"Carroll County, GA",53550,50291,3259
13,047,"Catoosa County, GA",32172,30595,1577
13,049,"Charlton County, GA",4741,4470,271
13,051,"Chatham County, GA",136088,128852,7236
13,053,"Chattahoochee County, GA",2060,1887,173
13,055,"Chattooga County, GA",10436,9769,667
