FIPS_ST,FIPS_CTY,CPOPARST,AG_ARRST,JURFLAG,COVIND,GRNDTOT,P1TOT,P1VLNT,P1PRPTY,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON,OTHASLT,FRGYCNT,FRAUD,EMBEZL,STLNPRP,VANDLSM,WEAPONS,COMVICE,SEXOFF,DRUGTOT,DRGSALE,COCSALE,MJSALE,SYNSALE,OTHSALE,DRGPOSS,COCPOSS,MJPOSS,SYNPOSS,OTHPOSS,GAMBLE,BOOKMKG,NUMBERS,OTGAMBL,OFAGFAM,DUI,LIQUOR,DRUNK,DISORDR,VAGRANT,ALLOTHR,SUSPICN,CURFEW,RUNAWAY
01,071,52143,7,One cnty,36.7859,1669,384,140,244,2,3,7,128,36,192,13,2,162,9,56,5,28,17,11,0,11,211,136,2,1,3,130,75,12,12,10,41,0,0,0,0,14,129,21,100,7,0,502,0,0,0
01,073,686045,32,Multiple counties,96.1688,17560,3221,844,2377,38,17,209,579,286,2011,66,13,1728,95,245,6,324,124,230,1,29,1156,76,34,12,2,27,1079,372,377,63,267,0,0,0,0,25,814,84,759,350,2,8368,0,0,0
01,075,13734,5,One cnty,70.3516,258,33,9,24,0,0,0,9,8,14,1,2,43,3,1,0,2,8,2,0,0,29,1,0,0,0,1,28,7,10,0,12,0,0,0,0,0,24,17,11,2,0,84,0,0,0
01,077,92345,8,One cnty,46.826,4573,514,152,363,7,12,21,112,61,282,18,2,375,29,81,3,41,25,50,0,23,127,21,3,3,1,13,106,18,25,15,48,0,0,0,0,41,262,75,315,50,0,2562,0,0,0
01,079,32804,6,One cnty,96.3566,1096,115,52,64,5,7,4,35,20,41,2,0,129,6,46,5,6,9,7,0,0,83,9,1,2,2,3,74,17,8,15,35,0,0,0,0,28,25,16,21,6,0,595,0,0,0
01,081,154967,3,Multiple counties,100.0,6434,829,208,621,20,2,34,152,77,514,27,3,905,41,125,0,60,57,55,0,32,167,35,16,9,2,8,132,46,31,12,43,0,0,0,0,39,451,96,484,66,0,3027,0,0,0
01,083,87026,3,Multiple counties,100.0,3811,430,114,316,3,7,16,88,56,236,17,7,370,54,121,0,23,48,14,0,16,139,22,8,0,1,13,117,35,26,12,44,0,0,0,0,36,349,19,128,13,0,2051,0,0,0
01,085,10277,4,One cnty,72.093,296,52,17,35,2,0,3,12,8,22,5,0,54,3,8,1,5,5,8,0,1,24,10,3,5,0,2,13,2,8,1,2,0,0,0,0,1,11,2,15,5,0,99,0,0,0
01,087,18687,5,Multiple counties,97.7471,477,127,69,58,11,3,8,47,17,38,1,1,73,4,10,1,13,11,24,0,2,26,2,2,0,0,0,24,12,8,0,3,0,0,0,0,1,18,0,32,6,0,128,0,0,0
01,089,361853,9,Multiple counties,99.8541,9033,2384,579,1805,29,64,146,340,232,1473,93,6,1043,265,211,25,199,79,208,0,70,893,72,2,0,2,68,821,177,257,254,133,0,0,0,0,7,149,13,77,65,1,3342,0,0,0
01,091,19803,6,One cnty,98.103,944,156,42,114,2,0,9,31,25,83,3,2,161,12,67,2,13,14,16,0,2,56,7,2,3,1,1,49,11,22,2,14,0,0,0,0,6,78,0,41,29,0,292,0,0,0
01,093,30667,8,Multiple counties,98.759,1204,176,32,144,4,0,3,25,44,91,8,0,154,4,19,1,31,10,29,0,0,172,15,1,3,0,11,157,52,14,3,89,0,0,0,0,2,81,43,82,10,0,391,0,0,0
01,095,95935,8,Multiple counties,99.8429,5281,576,151,425,3,9,5,134,55,343,23,3,389,26,139,1,36,32,9,0,19,288,144,7,0,1,136,144,20,11,21,92,0,0,0,0,9,214,42,217,21,0,3263,0,0,0
01,097,414817,14,One cnty,74.5896,13397,3308,760,2547,55,31,212,462,455,1904,168,20,2033,90,285,24,215,253,221,0,41,679,66,15,13,3,35,613,125,97,190,201,0,0,0,0,68,568,449,512,460,48,4141,0,0,0
01,099,21369,4,One cnty,92.2832,592,103,39,64,0,2,10,27,17,45,2,0,98,6,20,0,5,21,8,0,4,35,2,0,0,0,1,33,11,10,6,7,0,0,0,0,0,50,8,24,19,0,190,0,0,0
01,101,225350,12,One cnty,100.0,1324,559,231,328,22,13,76,120,113,186,27,2,91,16,46,4,40,14,21,0,28,85,15,8,5,2,0,70,18,24,3,25,0,0,0,0,5,17,1,5,8,0,384,0,0,0
